sp_name,x,y
Brachylagus_idahoensis,-116.578780487805,42.4253658536585
Lepus_alleni,-109.823142857143,28.6508571428571
Lepus_americanus,-107.417145833333,49.8046458333333
Lepus_arcticus,-94.8476666666667,67.3213333333333
Lepus_californicus,-107.958541666667,34.1885590277778
Lepus_callotis,-103.986129032258,24.0922580645161
Lepus_europaeus,-79.2031818181818,43.4486363636364
Lepus_othus,-162.582333333333,62.4723333333333
Lepus_townsendii,-107.384242424242,43.6894444444444
Ochotona_collaris,-144.920638297872,62.9893617021277
Ochotona_princeps,-115.351813186813,44.4951648351648
Sylvilagus_aquaticus,-91.8001111111111,32.6015555555556
Sylvilagus_audubonii,-107.678533333333,33.8083047619048
Sylvilagus_bachmani,-119.877252747253,36.7104395604396
Sylvilagus_brasiliensis,-91.6775,16.0961111111111
Sylvilagus_cunicularius,-100.680588235294,19.0561764705882
Sylvilagus_floridanus,-92.8101769911505,33.931213653603
Sylvilagus_nuttallii,-113.286783919598,41.7765326633166
Sylvilagus_palustris,-80.9031428571429,30.7505714285714
Sylvilagus_robustus,-104.453333333333,31.3466666666667
Sylvilagus_transitionalis,-75.3161538461539,41.15
